código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3]
100048,PET-15X,"Llave ajustable (perico) 15' cromada, TRUPER",MM00,2,12,585,Pieza,7.50624E+12,375,0,485,375,585,418.1,323.28,504.31,Truper,461.21,535,27111707,Llaves ajustables,P085,Llaves ajustables,1.09,1660.968
100049,PET-15C,"Llave ajustable (perico) 15' profesional cromada, Expert",MM00,4,12,825,Pieza,7.50624E+12,525,0,685,525,825,590.52,452.59,711.21,Expert,642.24,745,27111707,Llaves ajustables,P085,Llaves ajustables,1.33,1660.968
100098,REP-CUT-5X,"Estuche con 10 cuchillas SK2 de 9 mm para cutter, Expert",MM00,6,144,28,Set,7.50624E+12,18,0,23,18,28,19.83,15.52,24.14,Expert,22.41,26,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.035,120.9
100099,REP-CUT-6X,"Estuche con 10 cuchillas SK2 de 18 mm para cutter, Expert",MM00,6,144,49,Set,7.50624E+12,32,0,42,32,49,36.21,27.59,42.24,Expert,39.66,46,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.085,186.404
100101,REP-CUT-650,"Estuche con 50 cuchillas SK4 de 18 mm para cutter, Truper",MM00,2,20,135,Set,7.50624E+12,85,0,110,85,135,94.83,73.28,116.38,Truper,103.45,120,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.368,425.7
100103,ST-724X,"Disco sierra 7-1/4' p/madera, 24 dientes centro 5/8', Expert",MM00,3,12,339,Pieza,7.50624E+12,215,0,279,215,339,240.52,185.34,292.24,Expert,266.38,309,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.32,644.592
100104,ST-740X,"Disco sierra 7-1/4' p/madera, 40 dientes centro 5/8', Expert",MM00,3,12,415,Pieza,7.50624E+12,265,0,345,265,415,297.41,228.45,357.76,Expert,323.28,375,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.34,660.66
100105,ST-1040EX,"Disco sierra 10' para madera, 40 dientes centro 1', Expert",MM00,3,12,665,Pieza,7.50624E+12,425,0,555,425,665,478.45,366.38,573.28,Expert,530.17,615,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.72,1140.098
100106,ST-1060EX,"Disco sierra 10' para madera, 60 dientes centro 1', Expert",MM00,3,12,785,Pieza,7.50624E+12,500,0,650,500,785,560.34,431.03,676.72,Expert,616.38,715,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.725,1113.412
100107,ST-1240EX,"Disco sierra 12' para madera, 40 dientes centro 1', Expert",MM00,3,12,965,Pieza,7.50624E+12,615,0,795,615,965,685.34,530.17,831.9,Expert,754.31,875,23231200,Sierras circulares y accesorios,P129,Discos de sierra,1.16,1546.491
100108,ST-1260EX,"Disco sierra 12' para madera, 60 dientes centro 1', Expert",MM00,3,12,1135,Pieza,7.50624E+12,725,0,945,725,1135,814.66,625,978.45,Expert,892.24,1035,23231200,Sierras circulares y accesorios,P129,Discos de sierra,1.14,1613.731
100109,ST-10100AX,"Disco sierra 10' p/aluminio, 100 dientes centro 5/8', Expert",MM00,3,12,1750,Pieza,7.50624E+12,1100,0,1425,1100,1750,1228.45,948.28,1508.62,Expert,1357.76,1575,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.86,1177.092
100121,SPX-13C,"Serrucho de poda 13',hoja curva,7 DPP, mango madera, EXPERT",MM00,3,24,299,Pieza,7.50624E+12,189,0,245,189,299,211.21,162.93,257.76,Expert,231.9,269,27111500,Herramientas de corte y engarzado y punzones,P216,Serruchos jardineros,0.239,1759.604
100122,SPX-13R,"Serrucho de poda 13',hoja recta,7 DPP, mango madera, EXPERT",MM00,3,24,289,Pieza,7.50624E+12,185,0,239,185,289,206.03,159.48,249.14,Expert,228.45,265,27111500,Herramientas de corte y engarzado y punzones,P216,Serruchos jardineros,0.24,1789.942
100128,DILF-4120,"Disco lija 4-1/2' con respaldo de fibra, grano 120, TRUPER",MM00,5,125,17,Pieza,7.50624E+12,10,0,14,10,17,12.07,8.62,14.66,Truper,13.36,15.5,27112742,Lija de disco,P515,Discos de lija,0.016,73.952
100130,REP-CUT-7X,"Estuche con 10 cuchillas SK2 de 25 mm para cutter, Expert",MM00,6,96,125,Set,7.50624E+12,79,0,103,79,125,88.79,68.1,107.76,Expert,97.41,113,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.19,221.958
100131,REP-CUT-650X,"Estuche con 50 cuchillas SK2 de 18 mm para cutter, Expert",MM00,2,20,215,Set,7.50624E+12,135,0,175,135,215,150.86,116.38,185.34,Expert,168.1,195,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.365,368.64
100139,CA-40,"Cavador giratorio de acero, mango 'T' 30', Truper",MM00,2,0,1150,Pieza,7.50624E+12,795,0,955,795,1150,823.28,685.34,991.38,Truper,905.17,1050,21101606,Excavadoras de agujeros,P402,Cavadores nacionales y Latam,4.81,20661.732
10014,PR-PE,"Pala (lampa) recta, Perú, Truper",MM00,3,0,0,Pieza,7.50624E+12,110,0,*,110,*,*,94.83,*,Truper,137.93,160,27112004,Palas,P299,Palas nacionales,2.113,6157.148
100142,PAR-26,"Prensa de ajuste rápido 6' uso rudo, cuerpo nylon, Expert",MM00,2,24,315,Pieza,7.50624E+12,199,0,259,199,315,223.28,171.55,271.55,Expert,245.69,285,27112100,Herramientas de sujeción y fijación,P769,Prensas y sargentos,0.6,2782.856
100143,PAR-212,"Prensa de ajuste rápido 12' uso rudo, cuerpo nylon, Expert",MM00,2,24,365,Pieza,7.50624E+12,235,0,305,235,365,262.93,202.59,314.66,Expert,288.79,335,27112100,Herramientas de sujeción y fijación,P769,Prensas y sargentos,0.7,3698.008
100144,PAR-224,"Prensa de ajuste rápido 24' uso rudo, cuerpo nylon, Expert",MM00,2,12,465,Pieza,7.50624E+12,295,0,385,295,465,331.9,254.31,400.86,Expert,357.76,415,27112100,Herramientas de sujeción y fijación,P769,Prensas y sargentos,0.86,6145.44
100145,SUS-CAS,"Suspensión para cascos, ajuste por matraca, Truper",MM00,1,48,93,Pieza,7.50624E+12,59,0,77,59,93,66.38,50.86,80.17,Truper,73.28,85,31162800,Ferretería en general,P224,Cascos de seguridad,0.12,2699.91
100147,PES-X,"Pala escarramán, puño 'Y', mango acero, Truper Expert",MM00,3,0,355,Pieza,7.50624E+12,245,0,295,245,355,254.31,211.21,306.03,Expert,280.17,325,27112004,Palas,P299,Palas nacionales,2.64,6947.942
100148,MAN-30X3/4XX,Manguera 3/4' anti-torceduras 6 capas 30m conexiones d/metal,MM00,2,0,975,Pieza,7.50624E+12,675,0,805,675,975,693.97,581.9,840.52,Expert,762.93,885,40142000,Mangueras,P095,Mangueras de jardín armadas,9.17,32193
100153,EST-45/50/60,2 estabilizadores calibre 15 p/carretillas TRUPER y EXPERT,MM00,6,0,55,Par,7.50624E+12,35,0,45,35,55,38.79,30.17,47.41,Truper,43.1,50,31162800,Ferretería en general,P433,Refacciones de carretillas,0.5,485.597
